image_name,ground_truth_plate
eval_01_HR51BC3493_car1.jpg,HR51BC3493
eval_02_UP21X3666_car2.jpg,UP21X3666
eval_03_DL3CC8387_car3.jpg,DL3CC8387
eval_04_HR51BC3493_scene.jpg,HR51BC3493
eval_05_GX15OGJ_v1.jpg,GX15OGJ
eval_06_GX15OGJ_v2.jpg,GX15OGJ
eval_07_KH05ZZK_v1.jpg,KH05ZZK
eval_08_KH05ZZK_v2.jpg,KH05ZZK
eval_09_AP05JEO_v1.jpg,AP05JEO
eval_10_AP05JEO_v2.jpg,AP05JEO
eval_11_LN13VCV_v1.jpg,LN13VCV
eval_12_WR02FKD_v1.jpg,WR02FKD
eval_13_WR02FKD_v2.jpg,WR02FKD
eval_14_EY61NBG_v1.jpg,EY61NBG
eval_15_EY61NBG_v2.jpg,EY61NBG
eval_16_AV08HVF_v1.jpg,AV08HVF
eval_17_AV08HVF_v2.jpg,AV08HVF
eval_18_BG65USJ_v1.jpg,BG65USJ
eval_19_BG65USJ_v2.jpg,BG65USJ
eval_20_NA54KGJ_v1.jpg,NA54KGJ
eval_21_NA54KGJ_v2.jpg,NA54KGJ
eval_22_AK64DMV_v1.jpg,AK64DMV
eval_23_AK64DMV_v2.jpg,AK64DMV
eval_24_EF10DZT_v1.jpg,EF10DZT
eval_25_EF10DZT_v2.jpg,EF10DZT
eval_26_AF65JKV_v1.jpg,AF65JKV
eval_27_AF65JKV_v2.jpg,AF65JKV
eval_28_GJ06EPD_v1.jpg,GJ06EPD
eval_29_GJ06EPD_v2.jpg,GJ06EPD
eval_30_KH06KSU_v1.jpg,KH06KSU
eval_31_KH06KSU_v2.jpg,KH06KSU
eval_32_LN15ZZC_v1.jpg,LN15ZZC
eval_33_LN15ZZC_v2.jpg,LN15ZZC
eval_34_DA07CLX_v1.jpg,DA07CLX
eval_35_DA07CLX_v2.jpg,DA07CLX
eval_36_EY09VWS_v1.jpg,EY09VWS
eval_37_EY09VWS_v2.jpg,EY09VWS
eval_38_BP63LYH_v1.jpg,BP63LYH
eval_39_BP63LYH_v2.jpg,BP63LYH
eval_40_WG65ZFX_v1.jpg,WG65ZFX
eval_41_WG65ZFX_v2.jpg,WG65ZFX
eval_42_NL64OGX_v1.jpg,NL64OGX
eval_43_NL64OGX_v2.jpg,NL64OGX
eval_44_LP14LJA_v1.jpg,LP14LJA
eval_45_LP14LJA_v2.jpg,LP14LJA
eval_46_HX52BPF_v1.jpg,HX52BPF
eval_47_HX52BPF_v2.jpg,HX52BPF
eval_48_OU06XRO_v1.jpg,OU06XRO
eval_49_SC56DYP_v1.jpg,SC56DYP
eval_50_SC56DYP_v2.jpg,SC56DYP
eval_51_CE61WYL_v1.jpg,CE61WYL
eval_52_CE61WYL_v2.jpg,CE61WYL
